tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.1180 0.4784 0.0000 0.5147 0.0000 0.7847 7.6744 0.0000 7.6640 0.0314 10.8459 85.7217 0.0000 -6.9302 3000.0000 0.0000 3000.0000
0.1200 0.4940 0.0000 0.5303 0.0000 0.7835 7.8056 0.0000 7.7754 0.0319 11.0175 85.7971 0.0000 -6.9391 3000.0000 0.0000 3000.0000
0.1220 0.5099 0.0000 0.5461 0.0000 0.7822 7.9371 0.0000 7.8867 0.0324 11.1892 85.8724 0.0000 -6.9478 3000.0000 0.0000 3000.0000
0.1240 0.5261 0.0000 0.5621 0.0000 0.7810 8.0689 0.0000 7.9980 0.0329 11.3611 85.9476 0.0000 -6.9564 3000.0000 0.0000 3000.0000
0.1260 0.5425 0.0000 0.5783 0.0000 0.7798 8.2009 0.0000 8.1093 0.0334 11.5332 86.0228 0.0000 -6.9649 3000.0000 0.0000 3000.0000
0.1280 0.5591 0.0000 0.5947 0.0000 0.7786 8.3331 0.0000 8.2204 0.0339 11.7054 86.0979 0.0000 -6.9732 3000.0000 0.0000 3000.0000
0.1300 0.5761 0.0000 0.6114 0.0000 0.7774 8.4656 0.0000 8.3315 0.0344 11.8777 86.1730 0.0000 -6.9814 3000.0000 0.0000 3000.0000
0.1320 0.5933 0.0000 0.6283 0.0000 0.7763 8.5984 0.0000 8.4425 0.0349 12.0502 86.2480 0.0000 -6.9895 3000.0000 0.0000 3000.0000
0.1340 0.6107 0.0000 0.6454 0.0000 0.7751 8.7314 0.0000 8.5535 0.0354 12.2229 86.3229 0.0000 -6.9975 3000.0000 0.0000 3000.0000
0.1360 0.6284 0.0000 0.6627 0.0000 0.7740 8.8646 0.0000 8.6644 0.0359 12.3957 86.3979 0.0000 -7.0053 3000.0000 0.0000 3000.0000
0.1380 0.6464 0.0000 0.6803 0.0000 0.7729 8.9981 0.0000 8.7753 0.0364 12.5687 86.4727 0.0000 -7.0131 3000.0000 0.0000 3000.0000
0.1400 0.6647 0.0000 0.6980 0.0000 0.7718 9.1318 0.0000 8.8861 0.0369 12.7418 86.5476 0.0000 -7.0207 3000.0000 0.0000 3000.0000
0.1420 0.6832 0.0000 0.7160 0.0000 0.7707 9.2658 0.0000 8.9968 0.0374 12.9150 86.6224 0.0000 -7.0283 3000.0000 0.0000 3000.0000
0.1440 0.7020 0.0000 0.7342 0.0000 0.7696 9.4000 0.0000 9.1075 0.0380 13.0884 86.6971 0.0000 -7.0357 3000.0000 0.0000 3000.0000
0.1460 0.7211 0.0000 0.7527 0.0000 0.7685 9.5344 0.0000 9.2182 0.0385 13.2620 86.7719 0.0000 -7.0430 3000.0000 0.0000 3000.0000
0.1480 0.7404 0.0000 0.7713 0.0000 0.7675 9.6691 0.0000 9.3288 0.0390 13.4357 86.8466 0.0000 -7.0503 3000.0000 0.0000 3000.0000
0.1500 0.7601 0.0000 0.7902 0.0000 0.7664 9.8040 0.0000 9.4393 0.0395 13.6095 86.9212 0.0000 -7.0574 3000.0000 0.0000 3000.0000
