DT TOF MAX_TOF RNG ALT THT THT_DEG THT_DOT THT_DOT_DEG VEL_HRZ VEL_VRT SPD U W ACC_HRZ ACC_VRT U_DOT W_DOT AOA AOA_DEG AOA_DOT AOA_DOT_DEG RHO P A G Q MACH T_MOI MASS W_Z W_AF Z_AF K1 K2 K3 TA
0.004 0.036000000000000004 10 5.204186581393758 1005.1966074728709 0.9215618831883762 0.9215618831883762 1.5274780779600245 0.0 130.20461607016 129.8357617930818 183.84776310850236 182.2896388200927 -24.10507550719963 2.96957049509293 -2.2826250907439274 182.2896388200927 -24.10507550719963 0.03759092274296847 0.0 1.5478508802194095 0.0 1.1111492409606518 89825.315846 336.4164296225869 9.803550882409116 18778.422172235016 0.54648865786595 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.04000000000000001 10 5.725005045674398 1005.7159505200433 0.9280539775676945 0.9280539775676945 1.6230235948295877 0.0 130.21356439645902 129.82897003917535 183.84776310850236 182.13895731956114 -25.229626251828513 2.2370815747557975 -1.6979384766095735 182.13895731956114 -25.229626251828513 0.044144121472038396 0.0 1.6382996822674807 0.0 1.1110925714157285 89819.6582809959 336.41441383414 9.803549280664207 18777.464456925813 0.5464919324150703 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.04400000000000001 10 6.245859303260234 1006.2352664002 0.934867755775297 0.934867755775297 1.703444551900647 0.0 130.21932825816285 129.8246539724267 183.84776310850236 181.9713270371555 -26.418750299817262 1.4409654259570102 -1.0790166871637523 181.9713270371555 -26.418750299817262 0.05099706649550697 0.0 1.713236255867143 0.0 1.1110359080758623 89814.00140325943 336.41239817569226 9.803547679032322 18776.506846482072 0.546495206792252 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.048000000000000015 10 6.766736616292885 1006.7545650160897 0.941939229596031 0.941939229596031 1.7678684551835182 0.0 130.22166971682302 129.8229254268498 183.84776310850236 181.7870926977699 -27.660950068917714 0.5853646650440424 -0.43213639422544414 181.7870926977699 -27.660950068917714 0.05808437068409566 0.0 1.771826047147172 0.0 1.1109792499199014 89808.34511082801 336.41038261093746 9.803546077484611 18775.549323646334 0.5464984810564674 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.05200000000000002 10 7.287623295160177 1007.2738567177971 0.9492014447623487 0.9492014447623487 1.8155537915794062 0.0 130.22037182672574 129.82386946759743 183.84776310850236 181.58694546342727 -28.944145513260114 -0.3244725243189958 0.23601018690725042 181.58694546342727 -28.944145513260114 0.06533785629841785 0.0 1.8133714035805453 0.0 1.1109225958670939 89802.68929579413 336.4083671014423 9.803544475990536 18774.591870153887 0.5465017552701475 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.05600000000000002 10 7.808504782467081 1007.7931521956675 0.9565850578872104 0.9565850578872104 1.8459032812154232 0.0 130.21524339212164 129.82754306527076 183.84776310850236 181.37196029279298 -30.255785720812735 -1.282108651027859 0.9183994183286623 181.37196029279298 -30.255785720812735 0.07268715614270929 0.0 1.8373249610728632 0.0 1.1108659447880596 89797.03384540082 336.4063516070365 9.803542874518175 18773.634466918207 0.5465050294985478 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.060000000000000026 10 8.329365756035568 1008.3124623679286 0.9640189642675747 0.9640189642675747 1.8584765950910758 0.0 130.20612392269544 129.83397416823587 183.84776310850236 181.14362133360854 -31.58297018072731 -2.279867356547651 1.6077757412790479 181.14362133360854 -31.58297018072731 0.08006036543640323 0.0 1.8433023234234827 0.0 1.110809295516475 89791.37864320868 336.40433608622834 9.803541273034563 18772.67709422843 0.5465083038090741 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.06400000000000003 10 8.85019025172635 1008.8317982646015 0.9714309728389499 0.9714309728389499 1.8530021428437897 0.0 130.19288862504837 129.84316122205183 183.84776310850236 180.9038334088812 -32.91257848667823 -3.308824411764786 2.2967634539911623 180.9038334088812 -32.91257848667823 0.08738473990738935 0.0 1.8310936177465296 0.0 1.1107526468613422 89785.72357032065 336.4023204966403 9.803539671506023 18771.719731956684 0.5465115782705741 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.06800000000000003 10 9.370961806226543 1009.3511709094897 0.9787485228850957 0.9787485228850957 1.8293875115364682 0.0 130.17545324744265 129.8550731683586 183.84776310850236 180.65491811570524 -34.23140687066076 -4.358844401433468 2.977986576688735 180.65491811570524 -34.23140687066076 0.09458743387468777 0.0 1.8006734918246061 0.0 1.1106959976196564 89780.06850664681 336.40030479546033 9.803538069898545 18770.762359772194 0.5465148529526046 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.07200000000000004 10 9.891663619216313 1009.8705912021632 0.985899435395858 0.985899435395858 1.7877281276905732 0.0 130.1537785812237 129.86964993552743 183.84776310850236 180.3995936170546 -35.52630963311837 -5.418666554739166 3.644191792209474 180.3995936170546 -35.52630963311837 0.10159627034772035 0.0 1.7522091182581465 0.0 1.1106393465892792 89774.41333218946 336.39828893989926 9.803536468178132 18769.80495735882 0.546518127924689 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
