tof posE posN posU tgtE tgtN tgtU normAch pitchRate thetaRate alpha theta sideAch yawRate psiRate beta psi rollAngleComm rollRate phiRate phi
0.0490000000 0.1368048721 0.0047773314 0.1248719941 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7066557585 -0.0000224475 -0.0000224475 0.0376233580 0.7853979248 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0500000000 0.1437782303 0.0050208464 0.1313591949 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7066294251 -0.0000242307 -0.0000242307 0.0370059941 0.7853979015 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0510000000 0.1509982695 0.0052729758 0.1380834240 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7066021819 -0.0000261214 -0.0000261214 0.0364050997 0.7853978763 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0520000000 0.1584651108 0.0055337236 0.1450448028 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7065735686 -0.0000281252 -0.0000281252 0.0358451973 0.7853978492 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0530000000 0.1661788751 0.0058030942 0.1522434529 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7065443755 -0.0000302471 -0.0000302471 0.0353221932 0.7853978200 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0540000000 0.1741396837 0.0060810918 0.1596794958 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7065146194 -0.0000324901 -0.0000324901 0.0348325218 0.7853977886 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0550000000 0.1823476575 0.0063677205 0.1673530530 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7064843157 -0.0000348576 -0.0000348576 0.0343730625 0.7853977550 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0560000000 0.1908029176 0.0066629847 0.1752642463 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7064534802 -0.0000373525 -0.0000373525 0.0339410723 0.7853977189 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0570000000 0.1995055853 0.0069668886 0.1834131971 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7064221293 -0.0000399782 -0.0000399782 0.0335341305 0.7853976802 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0580000000 0.2084557816 0.0072794363 0.1918000271 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7063902800 -0.0000427378 -0.0000427378 0.0331500925 0.7853976388 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0590000000 0.2176536277 0.0076006322 0.2004248581 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7063579494 -0.0000456345 -0.0000456345 0.0327870519 0.7853975947 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0600000000 0.2270992447 0.0079304804 0.2092878115 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7063251554 -0.0000486714 -0.0000486714 0.0324433078 0.7853975475 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0610000000 0.2367927539 0.0082689852 0.2183890093 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7062919162 -0.0000518519 -0.0000518519 0.0321173384 0.7853974972 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0620000000 0.2467342765 0.0086161508 0.2277285730 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7062582506 -0.0000551790 -0.0000551790 0.0318077776 0.7853974437 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0630000000 0.2569239336 0.0089719815 0.2373066244 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7062241778 -0.0000586560 -0.0000586560 0.0315133957 0.7853973868 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0640000000 0.2673618465 0.0093364814 0.2471232853 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7061897175 -0.0000622861 -0.0000622861 0.0312330831 0.7853973263 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0650000000 0.2780481366 0.0097096549 0.2571786775 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7061548898 -0.0000660725 -0.0000660725 0.0309658355 0.7853972622 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0660000000 0.2889829249 0.0100915061 0.2674729227 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7061197155 -0.0000700185 -0.0000700185 0.0307107419 0.7853971941 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
