tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch p q r phi alpha beta fin1c fin2c fin3c fin4c fin1d fin2d fin3d fin4d
0.2800000000000002 107.60517173459988 101.34099696973135 8.34779135713946 3332.0 1665.0 4999.0 0.07301148645211664 -0.7557147794321178 0.05817843511444801 -2.2401936909884994e-18 3.4412521789305663e-19 -0.009401318846726 7.678221224001412e-18 4.311196573754232e-19 0.02128388375362384 -2.2515497218800134e-17 -0.001098836678835469 -0.0010988366788354715 -0.0010988366788354732 -0.0010988366788354758 -0.0009795094540094313 -0.0009795094540094328 -0.0009795094540094346 -0.0009795094540094363
0.2880000000000002 108.1185280851455 101.43151554505057 8.846770505451484 3332.0 1665.0 4999.0 0.07818059262815828 -0.764226832382919 0.06232188416062901 -3.6415293923510787e-17 -1.7415560250359206e-18 -0.010265000953796184 8.290299395635407e-18 4.951964797202561e-19 0.021158700761194242 -2.14199242608912e-17 -0.0011669918147427579 -0.0011669918147427605 -0.0011669918147427622 -0.0011669918147427648 -0.0010512818480011398 -0.0010512818480011418 -0.0010512818480011435 -0.0010512818480011455
0.2960000000000002 108.64916963233408 101.5250819669048 9.362602357659616 3332.0 1665.0 4999.0 0.08353100282134075 -0.773609393059574 0.06660868770506273 -4.3980089733737625e-17 -4.766327613632377e-18 -0.011171642710056195 8.940302136991609e-18 5.474607427492016e-19 0.021039840983720224 -1.4550783298146755e-17 -0.0012362484212772766 -0.0012362484212772797 -0.0012362484212772805 -0.0012362484212772836 -0.001121149796040798 -0.0011211497960408007 -0.0011211497960408024 -0.001121149796040805
0.3040000000000002 109.19710068079003 101.62169699431547 9.895280354455524 3332.0 1665.0 4999.0 0.08906358250382547 -0.7839039125086171 0.07103895143443335 -6.25108898902356e-17 -8.826712339085566e-18 -0.012122005940391884 9.496728080194552e-18 5.807002100771395e-19 0.02092667928111758 -3.90508796662816e-19 -0.0013064694572920846 -0.0013064694572920876 -0.001306469457292088 -0.0013064694572920911 -0.0011862344779102112 -0.0011862344779102144 -0.001186234477910216 -0.001186234477910219
0.3120000000000002 109.76232600975405 101.72136146999165 10.444797370134404 3332.0 1665.0 4999.0 0.09477926950551484 -0.7951617695089228 0.07561278345642584 -9.532105074753677e-17 -1.3515066262575503e-17 -0.013116360530445795 9.75715586259118e-18 5.858806431174951e-19 0.02081866761115625 -2.361589969306551e-17 -0.001377614573738032 -0.001377614573738035 -0.0013776145737380346 -0.0013776145737380376 -0.0012503284384859762 -0.0012503284384859795 -0.0012503284384859806 -0.0012503284384859836
0.32000000000000023 110.34485090076612 101.82407632521134 11.011145683257856 3332.0 1665.0 4999.0 0.10067908102043704 -0.8074332381512684 0.08033029404816497 -5.31304745031682e-17 -1.5544246906280078e-17 -0.01415403893721216 1.054808924970577e-17 5.556140251249738e-19 0.02071532631293656 -1.761706145934194e-17 -0.00144969056711792 -0.001449690567117923 -0.0014496905671179216 -0.0014496905671179247 -0.0013193391143728065 -0.0013193391143728095 -0.0013193391143728095 -0.0013193391143728125
0.32800000000000024 110.94468116496711 101.92984258463545 11.594316947709403 3332.0 1665.0 4999.0 0.10676411814255048 -0.8207553293564183 0.08519159549383772 -7.406784759647432e-17 -1.6764622491298913e-17 -0.01523394855259079 1.1209403879048866e-17 5.154108249643655e-19 0.02061623216123685 -1.3735484835157092e-17 -0.0015226463128584016 -0.0015226463128584047 -0.001522646312858402 -0.001522646312858405 -0.0013946365862615591 -0.001394636586261562 -0.0013946365862615609 -0.001394636586261564
0.33600000000000024 111.56182316468367 102.03866137011386 12.19430216967341 3332.0 1665.0 4999.0 0.1130355652061287 -0.835153031068464 0.09019680212215755 -9.097153336052201e-17 -1.720926402425756e-17 -0.016355513357869493 1.1806758163969428e-17 4.707042553707056e-19 0.020521006176257166 -4.231254912622812e-18 -0.0015963307881639423 -0.0015963307881639458 -0.0015963307881639423 -0.0015963307881639458 -0.0014716812981702453 -0.0014716812981702483 -0.0014716812981702464 -0.0014716812981702494
0.34400000000000025 112.19628382967443 102.15053390354996 12.811091690076728 3332.0 1665.0 4999.0 0.11949468709843286 -0.850653766275167 0.09534603042719894 -1.2223121721086379e-16 -1.7626955817903607e-17 -0.01751897428734097 1.2238855994954706e-17 4.2718688458492273e-19 0.020429306218459793 -1.3556940130516323e-17 -0.0016705630768977576 -0.001670563076897761 -0.0016705630768977576 -0.001670563076897761 -0.001545177650501565 -0.0015451776505015684 -0.0015451776505015656 -0.0015451776505015689
0.35200000000000026 112.84807067421008 102.26546150991243 13.444675166020222 3332.0 1665.0 4999.0 0.12614283062643375 -0.8672988234215981 0.10063939903382 -1.0689189334132978e-16 -1.690558931372194e-17 -0.01872465714787234 1.2909311672624072e-17 3.8375230349076035e-19 0.02034082543800259 -5.002409795650711e-18 -0.0017452368483929393 -0.0017452368483929428 -0.0017452368483929393 -0.0017452368483929428 -0.00161480206813535 -0.0016148020681353537 -0.0016148020681353503 -0.0016148020681353537
