tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.8500000000 87.6444610421 -0.2638200388 92.7864255540 7000.0000000000 0.0000000000 3000.0000000000 0.0007483320 -0.0001008755 FLYING
0.8600000000 89.9315224474 -0.2775042305 95.1142526533 7000.0000000000 0.0000000000 3000.0000000000 0.0007521869 -0.0001020227 FLYING
0.8700000000 92.2504625745 -0.2917164897 97.4709801760 7000.0000000000 0.0000000000 3000.0000000000 0.0007560588 -0.0001031576 FLYING
0.8800000000 94.6013264297 -0.3064699124 99.8565433706 7000.0000000000 0.0000000000 3000.0000000000 0.0007599682 -0.0001042836 FLYING
0.8900000000 96.9841580618 -0.3217777159 102.2708756717 7000.0000000000 0.0000000000 3000.0000000000 0.0007639118 -0.0001054005 FLYING
0.9000000000 99.3990005296 -0.3376532356 104.7139086817 7000.0000000000 0.0000000000 3000.0000000000 0.0007678871 -0.0001065082 FLYING
0.9100000000 101.8458958702 -0.3541099219 107.1855721528 7000.0000000000 0.0000000000 3000.0000000000 0.0007718914 -0.0001076066 FLYING
0.9200000000 104.3248850670 -0.3711613378 109.6857939696 7000.0000000000 0.0000000000 3000.0000000000 0.0007759221 -0.0001086954 FLYING
0.9300000000 106.8360080175 -0.3888211554 112.2145001317 7000.0000000000 0.0000000000 3000.0000000000 0.0007799768 -0.0001097747 FLYING
0.9400000000 109.3793035010 -0.4071031534 114.7716147375 7000.0000000000 0.0000000000 3000.0000000000 0.0007841864 -0.0001108650 FLYING
0.9500000000 111.9548300939 -0.4260214426 117.3570803074 7000.0000000000 0.0000000000 3000.0000000000 0.0007884602 -0.0001119529 FLYING
0.9600000000 114.5626523245 -0.4455903281 119.9708442237 7000.0000000000 0.0000000000 3000.0000000000 0.0007927615 -0.0001130331 FLYING
0.9700000000 117.2028349501 -0.4658242483 122.6128531470 7000.0000000000 0.0000000000 3000.0000000000 0.0007970889 -0.0001141056 FLYING
0.9800000000 119.8754429553 -0.4867377739 125.2830530170 7000.0000000000 0.0000000000 3000.0000000000 0.0008014408 -0.0001151703 FLYING
0.9900000000 122.5805415505 -0.5083456067 127.9813890533 7000.0000000000 0.0000000000 3000.0000000000 0.0008058156 -0.0001162271 FLYING
1.0000000000 125.3181961692 -0.5306625781 130.7078057575 7000.0000000000 0.0000000000 3000.0000000000 0.0008102117 -0.0001172759 FLYING
1.0100000000 128.0884724661 -0.5537036478 133.4622469148 7000.0000000000 0.0000000000 3000.0000000000 0.0008146276 -0.0001183168 FLYING
1.0200000000 130.8914363143 -0.5774839024 136.2446555955 7000.0000000000 0.0000000000 3000.0000000000 0.0008190619 -0.0001193495 FLYING
1.0300000000 133.7271538036 -0.6020185537 139.0549741569 7000.0000000000 0.0000000000 3000.0000000000 0.0008235133 -0.0001203742 FLYING
1.0400000000 136.5956912374 -0.6273229380 141.8931442451 7000.0000000000 0.0000000000 3000.0000000000 0.0008279804 -0.0001213905 FLYING
1.0500000000 139.4971151305 -0.6534125137 144.7591067970 7000.0000000000 0.0000000000 3000.0000000000 0.0008324619 -0.0001223986 FLYING
1.0600000000 142.4314922066 -0.6803028607 147.6528020426 7000.0000000000 0.0000000000 3000.0000000000 0.0008369818 -0.0001234040 FLYING
1.0700000000 145.3988896892 -0.7080097043 150.5741696491 7000.0000000000 0.0000000000 3000.0000000000 0.0008415179 -0.0001244018 FLYING
1.0800000000 148.3993750611 -0.7365488933 153.5231486056 7000.0000000000 0.0000000000 3000.0000000000 0.0008460656 -0.0001253914 FLYING
1.0900000000 151.4330154580 -0.7659363900 156.4996766521 7000.0000000000 0.0000000000 3000.0000000000 0.0008506236 -0.0001263725 FLYING
1.1000000000 154.4998773792 -0.7961882646 159.5036900060 7000.0000000000 0.0000000000 3000.0000000000 0.0008551910 -0.0001273453 FLYING
