tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.5600000000 37.8021976945 17.8406959494 30.5707764551 3000.0000000000 3000.0000000000 3000.0000000000 0.0003654600 0.0003000985 FLYING
0.5700000000 39.2998608478 18.5564807341 31.7585249032 3000.0000000000 3000.0000000000 3000.0000000000 0.0003568960 0.0003063597 FLYING
0.5800000000 40.8282380368 19.2876520319 32.9699358375 3000.0000000000 3000.0000000000 3000.0000000000 0.0003486101 0.0003126223 FLYING
0.5900000000 42.3873680509 20.0342716740 34.2050385429 3000.0000000000 3000.0000000000 3000.0000000000 0.0003405921 0.0003188888 FLYING
0.6000000000 43.9772887277 20.7964019913 35.4638623425 3000.0000000000 3000.0000000000 3000.0000000000 0.0003328276 0.0003251591 FLYING
0.6100000000 45.5980370076 21.5741058433 36.7464366315 3000.0000000000 3000.0000000000 3000.0000000000 0.0003253032 0.0003314331 FLYING
0.6200000000 47.2496489227 22.3674466141 38.0527908592 3000.0000000000 3000.0000000000 3000.0000000000 0.0003180064 0.0003377105 FLYING
0.6300000000 48.9321595851 23.1764882098 39.3829545124 3000.0000000000 3000.0000000000 3000.0000000000 0.0003109257 0.0003439911 FLYING
0.6400000000 50.6456031753 24.0012950539 40.7369570977 3000.0000000000 3000.0000000000 3000.0000000000 0.0003040502 0.0003502746 FLYING
0.6500000000 52.3900129298 24.8419320842 42.1148281250 3000.0000000000 3000.0000000000 3000.0000000000 0.0002973698 0.0003565609 FLYING
0.6600000000 54.1654211286 25.6984647476 43.5165970909 3000.0000000000 3000.0000000000 3000.0000000000 0.0002908752 0.0003628497 FLYING
0.6700000000 55.9718590820 26.5709589957 44.9422934620 3000.0000000000 3000.0000000000 3000.0000000000 0.0002845575 0.0003691409 FLYING
0.6800000000 57.8093571178 27.4594812802 46.3919466586 3000.0000000000 3000.0000000000 3000.0000000000 0.0002784085 0.0003754341 FLYING
0.6900000000 59.6779445674 28.3640985472 47.8655860381 3000.0000000000 3000.0000000000 3000.0000000000 0.0002724204 0.0003817291 FLYING
0.7000000000 61.5776497518 29.2848782318 49.3632408793 3000.0000000000 3000.0000000000 3000.0000000000 0.0002665862 0.0003880258 FLYING
0.7100000000 63.5084999680 30.2218882523 50.8849403656 3000.0000000000 3000.0000000000 3000.0000000000 0.0002608988 0.0003943239 FLYING
0.7200000000 65.4705214737 31.1751970041 52.4307135696 3000.0000000000 3000.0000000000 3000.0000000000 0.0002553521 0.0004006231 FLYING
0.7300000000 67.4637394734 32.1448733533 54.0005894365 3000.0000000000 3000.0000000000 3000.0000000000 0.0002499400 0.0004069231 FLYING
0.7400000000 69.4881781031 33.1309866301 55.5945967683 3000.0000000000 3000.0000000000 3000.0000000000 0.0002446568 0.0004132239 FLYING
0.7500000000 71.5438604152 34.1336066218 57.2127642080 3000.0000000000 3000.0000000000 3000.0000000000 0.0002394973 0.0004195250 FLYING
0.7600000000 73.6308083628 35.1528035654 58.8551202234 3000.0000000000 3000.0000000000 3000.0000000000 0.0002344565 0.0004258263 FLYING
0.7700000000 75.7490427847 36.1886481403 60.5216930912 3000.0000000000 3000.0000000000 3000.0000000000 0.0002295296 0.0004321274 FLYING
0.7800000000 77.8985833890 37.2412114606 62.2125108811 3000.0000000000 3000.0000000000 3000.0000000000 0.0002247083 0.0004384211 FLYING
0.7900000000 80.0794421097 38.3105617935 63.9275962347 3000.0000000000 3000.0000000000 3000.0000000000 0.0002199927 0.0004447113 FLYING
0.8000000000 82.2916283822 39.3967671444 65.6669705028 3000.0000000000 3000.0000000000 3000.0000000000 0.0002153795 0.0004509985 FLYING
0.8100000000 84.5351499822 40.4998956668 67.4306544007 3000.0000000000 3000.0000000000 3000.0000000000 0.0002108659 0.0004572844 FLYING
0.8200000000 86.8100031960 41.6200108261 69.2186602767 3000.0000000000 3000.0000000000 3000.0000000000 0.0002064509 0.0004635696 FLYING
