tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.2300000000 3.6030572971 2.0821201935 5.9388325894 3000.0000000000 3000.0000000000 3000.0000000000 0.0000751172 0.0000503402 FLYING
0.2400000000 3.9729091841 2.2960819576 6.5480923204 3000.0000000000 3000.0000000000 3000.0000000000 0.0000793524 0.0000531700 FLYING
0.2500000000 4.3617686571 2.5210877929 7.1885895796 3000.0000000000 3000.0000000000 3000.0000000000 0.0000836086 0.0000560125 FLYING
0.2600000000 4.7697270341 2.7571979431 7.8604634066 3000.0000000000 3000.0000000000 3000.0000000000 0.0000878857 0.0000588677 FLYING
0.2700000000 5.1968759590 3.0044732670 8.5638527219 3000.0000000000 3000.0000000000 3000.0000000000 0.0000921845 0.0000617357 FLYING
0.2800000000 5.6433045956 3.2629736202 9.2988916982 3000.0000000000 3000.0000000000 3000.0000000000 0.0000965088 0.0000646192 FLYING
0.2900000000 6.1090771523 3.5327448452 10.0656727483 3000.0000000000 3000.0000000000 3000.0000000000 0.0001008478 0.0000675109 FLYING
0.3000000000 6.5942581650 3.8138334008 10.8642881681 3000.0000000000 3000.0000000000 3000.0000000000 0.0001052016 0.0000704107 FLYING
0.3100000000 7.0989124987 4.1062863676 11.6948301335 3000.0000000000 3000.0000000000 3000.0000000000 0.0001095703 0.0000733185 FLYING
0.3200000000 7.6231053498 4.4101514535 12.5573906968 3000.0000000000 3000.0000000000 3000.0000000000 0.0001139537 0.0000762342 FLYING
0.3300000000 8.1669022479 4.7254769989 13.4520617842 3000.0000000000 3000.0000000000 3000.0000000000 0.0001183521 0.0000791579 FLYING
0.3400000000 8.7303690573 5.0523119820 14.3789351907 3000.0000000000 3000.0000000000 3000.0000000000 0.0001227655 0.0000820895 FLYING
0.3500000000 9.3135719788 5.3907060238 15.3381025771 3000.0000000000 3000.0000000000 3000.0000000000 0.0001271939 0.0000850289 FLYING
0.3600000000 9.9165775523 5.7407093943 16.3296554672 3000.0000000000 3000.0000000000 3000.0000000000 0.0001316374 0.0000879761 FLYING
0.3700000000 10.5394526574 6.1023730169 17.3536852429 3000.0000000000 3000.0000000000 3000.0000000000 0.0001360961 0.0000909311 FLYING
0.3800000000 11.1822645167 6.4757484749 18.4102831416 3000.0000000000 3000.0000000000 3000.0000000000 0.0001405700 0.0000938938 FLYING
0.3900000000 11.8450806964 6.8608880161 19.4995402520 3000.0000000000 3000.0000000000 3000.0000000000 0.0001450592 0.0000968641 FLYING
0.4000000000 12.5279691089 7.2578445587 20.6215475102 3000.0000000000 3000.0000000000 3000.0000000000 0.0001495638 0.0000998420 FLYING
0.4100000000 13.2309980143 7.6666716970 21.7763956958 3000.0000000000 3000.0000000000 3000.0000000000 0.0001540839 0.0001028276 FLYING
0.4200000000 13.9542360224 8.0874237066 22.9641754288 3000.0000000000 3000.0000000000 3000.0000000000 0.0001586195 0.0001058207 FLYING
0.4300000000 14.6977520947 8.5201555502 24.1849771650 3000.0000000000 3000.0000000000 3000.0000000000 0.0001631708 0.0001088213 FLYING
0.4400000000 15.4616155457 8.9649228831 25.4388911919 3000.0000000000 3000.0000000000 3000.0000000000 0.0001677378 0.0001118294 FLYING
0.4500000000 16.2458960451 9.4217820587 26.7260076247 3000.0000000000 3000.0000000000 3000.0000000000 0.0001723206 0.0001148449 FLYING
0.4600000000 17.0506636191 9.8907901346 28.0464164023 3000.0000000000 3000.0000000000 3000.0000000000 0.0001769193 0.0001178678 FLYING
0.4700000000 17.8759886536 10.3720048778 29.4002072837 3000.0000000000 3000.0000000000 3000.0000000000 0.0001815340 0.0001208981 FLYING
0.4800000000 18.7219418953 10.8654847715 30.7874698445 3000.0000000000 3000.0000000000 3000.0000000000 0.0001861648 0.0001239358 FLYING
0.4900000000 19.5885944525 11.3712890191 32.2082934702 3000.0000000000 3000.0000000000 3000.0000000000 0.0001908117 0.0001269807 FLYING
0.5000000000 20.4760177981 11.8894775514 33.6627673532 3000.0000000000 3000.0000000000 3000.0000000000 0.0001954749 0.0001300329 FLYING
0.5100000000 21.3842837717 12.4201110321 35.1509804901 3000.0000000000 3000.0000000000 3000.0000000000 0.0002001544 0.0001330922 FLYING
0.5200000000 22.3134645810 12.9632508637 36.6730216757 3000.0000000000 3000.0000000000 3000.0000000000 0.0002048504 0.0001361588 FLYING
0.5300000000 23.2636328032 13.5189591931 38.2289794986 3000.0000000000 3000.0000000000 3000.0000000000 0.0002095630 0.0001392326 FLYING
0.5400000000 24.2348613869 14.0872989175 39.8189423364 3000.0000000000 3000.0000000000 3000.0000000000 0.0002142933 0.0001423142 FLYING
0.5500000000 25.2272181957 14.6683304962 41.4429894158 3000.0000000000 3000.0000000000 3000.0000000000 0.0002190438 0.0001454051 FLYING
0.5600000000 26.2407495778 15.2621023264 43.1011639301 3000.0000000000 3000.0000000000 3000.0000000000 0.0002238049 0.0001484990 FLYING
0.5700000000 27.2755021642 15.8686634805 44.7935087522 3000.0000000000 3000.0000000000 3000.0000000000 0.0002285746 0.0001515943 FLYING
0.5800000000 28.3315207029 16.4880624350 46.5200628945 3000.0000000000 3000.0000000000 3000.0000000000 0.0002333538 0.0001546915 FLYING
0.5900000000 29.4088494458 17.1203478852 48.2808637745 3000.0000000000 3000.0000000000 3000.0000000000 0.0002381431 0.0001577910 FLYING
0.6000000000 30.5075326810 17.7655690607 50.0759480809 3000.0000000000 3000.0000000000 3000.0000000000 0.0002429424 0.0001608926 FLYING
0.6100000000 31.6276147248 18.4237757221 51.9053517575 3000.0000000000 3000.0000000000 3000.0000000000 0.0002477517 0.0001639963 FLYING
0.6200000000 32.7691399125 19.0950181581 53.7691099848 3000.0000000000 3000.0000000000 3000.0000000000 0.0002525711 0.0001671019 FLYING
0.6300000000 33.9321525890 19.7793471821 55.6672571611 3000.0000000000 3000.0000000000 3000.0000000000 0.0002574006 0.0001702094 FLYING
0.6400000000 35.1166971008 20.4768141291 57.5998268869 3000.0000000000 3000.0000000000 3000.0000000000 0.0002622401 0.0001733186 FLYING
0.6500000000 36.3228177858 21.1874708523 59.5668519450 3000.0000000000 3000.0000000000 3000.0000000000 0.0002670897 0.0001764296 FLYING
0.6600000000 37.5505589640 21.9113697192 61.5683642822 3000.0000000000 3000.0000000000 3000.0000000000 0.0002719494 0.0001795421 FLYING
0.6700000000 38.7999649294 22.6485636087 63.6043949926 3000.0000000000 3000.0000000000 3000.0000000000 0.0002768191 0.0001826562 FLYING
0.6800000000 40.0710799382 23.3991059063 65.6749742963 3000.0000000000 3000.0000000000 3000.0000000000 0.0002816989 0.0001857716 FLYING
0.6900000000 41.3639482009 24.1630505011 67.7801315236 3000.0000000000 3000.0000000000 3000.0000000000 0.0002865887 0.0001888884 FLYING
0.7000000000 42.6786138713 24.9404517809 69.9198950936 3000.0000000000 3000.0000000000 3000.0000000000 0.0002914886 0.0001920064 FLYING
0.7100000000 44.0151210365 25.7313646284 72.0942924960 3000.0000000000 3000.0000000000 3000.0000000000 0.0002963986 0.0001951254 FLYING
0.7200000000 45.3735137070 26.5358444170 74.3033502721 3000.0000000000 3000.0000000000 3000.0000000000 0.0003013186 0.0001982455 FLYING
0.7300000000 46.7538358066 27.3539470059 76.5470939958 3000.0000000000 3000.0000000000 3000.0000000000 0.0003062486 0.0002013665 FLYING
0.7400000000 48.1561311622 28.1857287364 78.8255482543 3000.0000000000 3000.0000000000 3000.0000000000 0.0003111886 0.0002044883 FLYING
0.7500000000 49.5804434921 29.0312464259 81.1387366274 3000.0000000000 3000.0000000000 3000.0000000000 0.0003161386 0.0002076107 FLYING
0.7600000000 51.0268163952 29.8905573632 83.4866816672 3000.0000000000 3000.0000000000 3000.0000000000 0.0003210985 0.0002107338 FLYING
0.7700000000 52.4952933421 30.7637193048 85.8694048815 3000.0000000000 3000.0000000000 3000.0000000000 0.0003260626 0.0002138534 FLYING
0.7800000000 53.9859126571 31.6507874760 88.2869186136 3000.0000000000 3000.0000000000 3000.0000000000 0.0003310349 0.0002169723 FLYING
0.7900000000 55.4987120191 32.5518172527 90.7392333387 3000.0000000000 3000.0000000000 3000.0000000000 0.0003360155 0.0002200904 FLYING
0.8000000000 57.0337286016 33.4668642440 93.2263578904 3000.0000000000 3000.0000000000 3000.0000000000 0.0003410042 0.0002232075 FLYING
0.8100000000 58.5909990510 34.3959842794 95.7482994270 3000.0000000000 3000.0000000000 3000.0000000000 0.0003460026 0.0002263246 FLYING
