tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch
0.10500000000000002 2.175945324461082 1.8258019664587661 13.984025273284795 3005.25 3005.25 3000.0 -2.90238702144241 -0.002302307187608497 0.32429040556374744 0.00021471141347807594
0.11000000000000003 2.333472475744488 1.9579757414576562 14.269457172027352 3005.5 3005.5 3000.0 -2.9765753318846877 -0.0026696744079012617 0.3362444639293557 0.0002509281876417592
0.11500000000000003 2.495929184851815 2.0942847905782838 14.563562112597785 3005.75 3005.75 3000.0 -3.054326814769246 -0.003077578416254806 0.34871513868254117 0.0002915325490643404
0.12000000000000004 2.66331862848925 2.234731669345715 14.866336834255517 3006.0 3006.0 3000.0 -3.1356082494524506 -0.003528911928526498 0.3617083150381693 0.00033689353368367245
0.12500000000000003 2.8356439268402043 2.379318880308425 15.177778119460367 3006.25 3006.25 3000.0 -3.2203819846182076 -0.004026710281683245 0.3752288541506114 0.00038740297101380757
0.13000000000000003 3.012908148174473 2.5280488767911944 15.497882789720645 3006.5 3006.5 3000.0 -3.30860689269077 -0.0045741585085642454 0.3892807060538873 0.00044347669145424726
0.13500000000000004 3.1951143131535433 2.6809240663838803 15.82664770171386 3006.75 3006.75 3000.0 -3.4002392326950206 -0.005174598392777099 0.4038670179980621 0.0005055557495080195
0.14000000000000004 3.3822653988664464 2.837946814195385 16.164069743649225 3007.0 3007.0 3000.0 -3.495233417967271 -0.005831535466956922 0.41899023664694535 0.0005741076580993304
0.14500000000000005 3.5743643426257665 2.9991194458981676 16.5101458318454 3007.25 3007.25 3000.0 -3.593542688811236 -0.006548645934225533 0.4346522031007623 0.0006496276307324939
0.15000000000000005 3.771414045549403 3.1644442505852575 16.86487290750042 3007.5 3007.5 3000.0 -3.695119693060578 -0.007329783485215384 0.4508542401355497 0.0007326398274898404
0.15500000000000005 3.973417375950266 3.3339234834588805 17.22824793363389 3007.75 3007.75 3000.0 -3.7999169796049403 -0.008178986000016406 0.4675972314040949 0.0008236986025334378
0.16000000000000006 4.180377172553189 3.507559368367374 17.600267892183954 3008.0 3008.0 3000.0 -3.9078874113492312 -0.009100482099768995 0.4848816926226717 0.000923389748329936
0.16500000000000006 4.392296247555867 3.685354100204989 17.980929781243898 3008.25 3008.25 3000.0 -4.018984504913275 -0.010098697568852082 0.5027078349794294 0.0010323317374652157
0.17000000000000007 4.609177389548535 3.8673098471874043 18.370230612425033 3008.5 3008.5 3000.0 -4.13316270475182 -0.01117826159209041 0.5210756211520181 0.001151176955268965
0.17500000000000007 4.831023366305244 4.053428753014248 18.768167408334122 3008.75 3008.75 3000.0 -4.2503775993894015 -0.012344012838358969 0.5399848144231222 0.001280612925253871
0.18000000000000008 5.057836927458107 4.243712938928601 19.174737200155068 3009.0 3009.0 3000.0 -4.370586087216294 -0.013601005351548704 0.5594350214424076 0.0014213635223003253
0.18500000000000008 5.289620807064455 4.438164505682335 19.589937025325703 3009.25 3009.25 3000.0 -4.493746498861838 -0.014954514266282372 0.5794257292104966 0.001574190174307589
0.19000000000000009 5.526377726075764 4.636785535415122 20.01376392530162 3009.5 3009.5 3000.0 -4.619818682617136 -0.016410041323186773 0.599956336863122 0.001739893048704684
0.1950000000000001 5.7681103947161505 4.839578093454128 20.44621494339985 3009.75 3009.75 3000.0 -4.748764058772873 -0.017973320201757067 0.6210261828179864 0.0019193122247528407
0.2000000000000001 6.014821514777372 5.0465442300406345 20.887287122715964 3010.0 3010.0 3000.0 -4.880545648110131 -0.01965032164315687 0.6426345678188343 0.0021133288478369953
0.2050000000000001 6.266513781836535 5.257685981989177 21.33697750410897 3010.25 3010.25 3000.0 -5.015128079161478 -0.021447258378329424 0.664780774375265 0.0023228662665010632
0.2100000000000001 6.523189887401988 5.473005374284237 21.795283124248762 3010.5 3010.5 3000.0 -5.152477578266377 -0.023370589859934187 0.6874640830562729 0.0025488911512965306
0.2150000000000001 6.784852520992365 5.692504421618999 22.262201013721665 3010.75 3010.75 3000.0 -5.292561945892351 -0.025427026775781125 0.7106837860531472 0.0027924145922719116
0.2200000000000001 7.051504372153164 5.916185129880244 22.737728195189835 3011.0 3011.0 3000.0 -5.435350522188002 -0.02762353537704775 0.7344391983850166 0.0030544931779971705
0.22500000000000012 7.32314813241485 6.1440494975830795 23.221861681600863 3011.25 3011.25 3000.0 -5.580814144279988 -0.02996734158100658 0.7587296670793909 0.0033362300510783784
0.23000000000000012 7.599786497196037 6.376099517258822 23.714598474444212 3011.5 3011.5 3000.0 -5.728925097422976 -0.03246593488254869 0.7835545786213644 0.003638775943277315
0.23500000000000013 7.881422167654974 6.612337176799083 24.215935562051392 3011.75 3011.75 3000.0 -5.87965706175825 -0.035127072050750954 0.8089133649293083 0.003963330187052308
0.24000000000000013 8.168057852492241 6.852764460758794 24.72586991793719 3012.0 3012.0 3000.0 -6.032985056129565 -0.037958780626687554 0.8348055080820664 0.0043111417047726405
0.24500000000000013 8.459696269707282 7.097383351620696 25.244398499179365 3012.25 3012.25 3000.0 -6.18888538014052 -0.04096936220246569 0.8612305439930966 0.004683509972854158
0.2500000000000001 8.756340148311159 7.346195831023573 25.771518244834585 3012.5 3012.5 3000.0 -6.347335555411855 -0.044167395500290925 0.8881880652004708 0.0050817859624489765
0.2550000000000001 9.057992229997694 7.599203880956334 26.30722607438848 3012.75 3012.75 3000.0 -6.508314266805729 -0.047561739242981474 0.9156777229181803 0.0055073730552985785
0.2600000000000001 9.364655270774971 7.856409484919852 26.85151888623792 3013.0 3013.0 3000.0 -6.6718013042223525 -0.05686595681288229 0.9436992284734339 0.00662645021233639
0.2650000000000001 9.678190605060141 8.119371324869316 27.40766637602863 3013.25 3013.25 3000.0 -6.901680343559599 -0.061635187296988365 0.9831828816651328 0.0072269157977646195
0.27000000000000013 9.998602087740819 8.388092133797421 27.97566409513053 3013.5 3013.5 3000.0 -7.136219938507108 -0.066485293765174 1.0236726171682362 0.007842860183303317
0.27500000000000013 10.325893442321512 8.662574550618166 28.55550769043129 3013.75 3013.75 3000.0 -7.375402546480844 -0.07158840112722442 1.0651644848646757 0.008494331319537703
0.28000000000000014 10.660068366560319 8.942821187388173 29.147192812124473 3014.0 3014.0 3000.0 -7.619189012288609 -0.07695937608211006 1.107657572010941 0.00918367013260687
0.28500000000000014 11.001130538222561 9.228834633124634 29.750715108643767 3014.25 3014.25 3000.0 -7.867542849305808 -0.08261229040156297 1.1511511652573372 0.009913191219509244
0.29000000000000015 11.349083619753241 9.520617456911772 30.36607022253809 3014.5 3014.5 3000.0 -8.12043025059465 -0.08856191354693159 1.1956447224647428 0.010685339527367627
0.29500000000000015 11.703931262770713 9.818172210883649 30.993253786492936 3014.75 3014.75 3000.0 -8.377819885420697 -0.09482372404557034 1.2411378683757026 0.011502692689596547
0.30000000000000016 12.065677112394903 10.121501433093663 31.63226141948614 3015.0 3015.0 3000.0 -8.639682708879326 -0.10141391448787725 1.2876303899862296 0.012367963141578151
0.30500000000000016 12.434324811419483 10.430607650278008 32.28308872306992 3015.25 3015.25 3000.0 -8.90599178503443 -0.1083493961059751 1.3351222317530138 0.01328400018772313
0.31000000000000016 12.809878004336795 10.745493380519823 32.94573127777147 3015.5 3015.5 3000.0 -9.17672212290038 -0.11564780272918124 1.3836134907625317 0.014253791980700587
