TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
1.1700 1404.0002 9978.2172 -0.0304 -0.0545 0.0006 -0.0277 -0.0060 0.0092
1.1800 1416.0002 9977.8417 -0.0310 -0.0546 0.0003 -0.0278 -0.0041 0.0062
1.1900 1428.0002 9977.4629 -0.0315 -0.0546 0.0000 -0.0278 -0.0022 0.0033
1.2000 1440.0002 9977.0810 -0.0321 -0.0546 -0.0002 -0.0278 -0.0003 0.0004
1.2100 1452.0002 9976.6958 -0.0326 -0.0546 -0.0005 -0.0278 0.0017 -0.0025
1.2200 1464.0003 9976.3074 -0.0332 -0.0545 -0.0008 -0.0278 0.0036 -0.0054
1.2300 1476.0003 9975.9158 -0.0337 -0.0545 -0.0011 -0.0278 0.0055 -0.0083
1.2400 1488.0003 9975.5209 -0.0342 -0.0544 -0.0014 -0.0277 0.0075 -0.0112
1.2500 1500.0003 9975.1229 -0.0348 -0.0543 -0.0016 -0.0276 0.0094 -0.0141
1.2600 1512.0003 9974.7216 -0.0353 -0.0542 -0.0019 -0.0275 0.0113 -0.0169
1.2700 1524.0003 9974.3171 -0.0359 -0.0541 -0.0022 -0.0274 0.0132 -0.0197
1.2800 1536.0003 9973.9094 -0.0364 -0.0539 -0.0025 -0.0273 0.0151 -0.0226
1.2900 1548.0003 9973.4985 -0.0370 -0.0538 -0.0027 -0.0271 0.0170 -0.0253
1.3000 1560.0003 9973.0843 -0.0375 -0.0536 -0.0030 -0.0270 0.0188 -0.0281
1.3100 1572.0003 9972.6670 -0.0380 -0.0534 -0.0033 -0.0268 0.0207 -0.0308
1.3200 1584.0003 9972.2464 -0.0386 -0.0531 -0.0035 -0.0266 0.0225 -0.0335
1.3300 1596.0003 9971.8226 -0.0391 -0.0529 -0.0038 -0.0263 0.0243 -0.0362
1.3400 1608.0003 9971.3955 -0.0396 -0.0526 -0.0040 -0.0261 0.0261 -0.0389
1.3500 1620.0003 9970.9653 -0.0401 -0.0523 -0.0043 -0.0258 0.0279 -0.0415
1.3600 1632.0003 9970.5318 -0.0407 -0.0520 -0.0046 -0.0255 0.0297 -0.0441
1.3700 1644.0003 9970.0951 -0.0412 -0.0517 -0.0048 -0.0252 0.0314 -0.0466
1.3800 1656.0003 9969.6552 -0.0417 -0.0514 -0.0051 -0.0249 0.0332 -0.0491
1.3900 1668.0004 9969.2121 -0.0422 -0.0511 -0.0053 -0.0246 0.0349 -0.0516
1.4000 1680.0004 9968.7657 -0.0427 -0.0507 -0.0056 -0.0242 0.0365 -0.0540
1.4100 1692.0004 9968.3161 -0.0432 -0.0503 -0.0058 -0.0239 0.0382 -0.0564
1.4200 1704.0004 9967.8633 -0.0437 -0.0499 -0.0060 -0.0235 0.0398 -0.0587
1.4300 1716.0004 9967.4073 -0.0442 -0.0495 -0.0063 -0.0231 0.0414 -0.0610
1.4400 1728.0004 9966.9481 -0.0447 -0.0491 -0.0065 -0.0227 0.0430 -0.0633
1.4500 1740.0004 9966.4856 -0.0452 -0.0486 -0.0067 -0.0223 0.0445 -0.0655
1.4600 1752.0004 9966.0199 -0.0457 -0.0482 -0.0069 -0.0218 0.0460 -0.0677
1.4700 1764.0004 9965.5510 -0.0462 -0.0477 -0.0071 -0.0213 0.0475 -0.0698
1.4800 1776.0004 9965.0788 -0.0467 -0.0472 -0.0073 -0.0209 0.0489 -0.0718
1.4900 1788.0004 9964.6035 -0.0471 -0.0467 -0.0076 -0.0204 0.0503 -0.0738
1.5000 1800.0004 9964.1249 -0.0476 -0.0462 -0.0077 -0.0199 0.0517 -0.0758
1.5100 1812.0004 9963.6431 -0.0481 -0.0456 -0.0079 -0.0194 0.0530 -0.0777
1.5200 1824.0004 9963.1580 -0.0485 -0.0451 -0.0081 -0.0188 0.0544 -0.0795
1.5300 1836.0004 9962.6698 -0.0490 -0.0445 -0.0083 -0.0183 0.0556 -0.0813
1.5400 1848.0004 9962.1783 -0.0494 -0.0440 -0.0085 -0.0177 0.0568 -0.0831
1.5500 1860.0004 9961.6836 -0.0499 -0.0434 -0.0087 -0.0172 0.0580 -0.0848
1.5600 1872.0004 9961.1856 -0.0503 -0.0428 -0.0088 -0.0166 0.0592 -0.0864
1.5700 1884.0004 9960.6845 -0.0507 -0.0422 -0.0090 -0.0160 0.0603 -0.0880
1.5800 1896.0004 9960.1801 -0.0512 -0.0416 -0.0091 -0.0154 0.0614 -0.0895
1.5900 1908.0004 9959.6724 -0.0516 -0.0410 -0.0093 -0.0148 0.0624 -0.0909
1.6000 1920.0004 9959.1616 -0.0520 -0.0403 -0.0094 -0.0141 0.0634 -0.0923
1.6100 1932.0004 9958.6475 -0.0524 -0.0397 -0.0096 -0.0135 0.0643 -0.0936
1.6200 1944.0004 9958.1302 -0.0528 -0.0390 -0.0097 -0.0129 0.0652 -0.0949
1.6300 1956.0004 9957.6097 -0.0532 -0.0384 -0.0098 -0.0122 0.0661 -0.0961
1.6400 1968.0004 9957.0860 -0.0536 -0.0377 -0.0099 -0.0115 0.0669 -0.0972
1.6500 1980.0004 9956.5590 -0.0539 -0.0370 -0.0100 -0.0109 0.0677 -0.0983
1.6600 1992.0004 9956.0288 -0.0543 -0.0363 -0.0101 -0.0102 0.0684 -0.0993
1.6700 2004.0004 9955.4954 -0.0547 -0.0357 -0.0102 -0.0095 0.0691 -0.1003
1.6800 2016.0003 9954.9587 -0.0550 -0.0350 -0.0103 -0.0088 0.0697 -0.1011
1.6900 2028.0003 9954.4188 -0.0554 -0.0343 -0.0104 -0.0081 0.0703 -0.1020
1.7000 2040.0003 9953.8757 -0.0557 -0.0335 -0.0105 -0.0074 0.0708 -0.1027
1.7100 2052.0003 9953.3294 -0.0560 -0.0328 -0.0106 -0.0067 0.0713 -0.1034
1.7200 2064.0003 9952.7798 -0.0564 -0.0321 -0.0106 -0.0060 0.0718 -0.1040
1.7300 2076.0003 9952.2270 -0.0567 -0.0314 -0.0107 -0.0053 0.0722 -0.1046
1.7400 2088.0003 9951.6710 -0.0570 -0.0307 -0.0107 -0.0046 0.0725 -0.1051
1.7500 2100.0003 9951.1118 -0.0573 -0.0299 -0.0107 -0.0038 0.0728 -0.1055
1.7600 2112.0003 9950.5493 -0.0576 -0.0292 -0.0108 -0.0031 0.0731 -0.1058
1.7700 2124.0003 9949.9836 -0.0579 -0.0285 -0.0108 -0.0024 0.0733 -0.1061
1.7800 2136.0002 9949.4147 -0.0582 -0.0277 -0.0108 -0.0017 0.0735 -0.1064
1.7900 2148.0002 9948.8425 -0.0585 -0.0270 -0.0108 -0.0009 0.0736 -0.1065
1.8000 2160.0002 9948.2671 -0.0587 -0.0263 -0.0108 -0.0002 0.0736 -0.1066
1.8100 2172.0002 9947.6885 -0.0590 -0.0255 -0.0108 0.0006 0.0736 -0.1066
1.8200 2184.0002 9947.1067 -0.0593 -0.0248 -0.0108 0.0013 0.0736 -0.1066
1.8300 2196.0002 9946.5216 -0.0595 -0.0241 -0.0108 0.0020 0.0735 -0.1064
1.8400 2208.0002 9945.9333 -0.0597 -0.0233 -0.0108 0.0028 0.0734 -0.1063
1.8500 2220.0001 9945.3418 -0.0600 -0.0226 -0.0107 0.0035 0.0732 -0.1060
1.8600 2232.0001 9944.7470 -0.0602 -0.0219 -0.0107 0.0042 0.0729 -0.1057
1.8700 2244.0001 9944.1490 -0.0604 -0.0211 -0.0106 0.0049 0.0727 -0.1053
1.8800 2256.0001 9943.5478 -0.0606 -0.0204 -0.0106 0.0057 0.0723 -0.1048
1.8900 2268.0001 9942.9434 -0.0608 -0.0197 -0.0105 0.0064 0.0719 -0.1043
1.9000 2280.0001 9942.3358 -0.0610 -0.0190 -0.0104 0.0071 0.0715 -0.1037
1.9100 2292.0000 9941.7249 -0.0612 -0.0183 -0.0104 0.0078 0.0710 -0.1031
1.9200 2304.0000 9941.1108 -0.0614 -0.0176 -0.0103 0.0085 0.0705 -0.1023
1.9300 2316.0000 9940.4934 -0.0616 -0.0169 -0.0102 0.0092 0.0699 -0.1016
1.9400 2328.0000 9939.8728 -0.0618 -0.0162 -0.0101 0.0099 0.0693 -0.1007
