TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A
0.206 201.676 46.651 56.4663 955.021 283.249 306.928 -260.799 549.398 304.474
0.207 202.631 46.9346 56.7733 954.76 283.798 307.232 -261.179 549.295 304.245
0.208 203.586 47.2186 57.0807 954.499 284.348 307.536 -261.558 549.19 304.016
0.209 204.54 47.5033 57.3884 954.237 284.897 307.84 -261.937 549.084 303.787
0.21 205.494 47.7884 57.6964 953.975 285.446 308.144 -262.315 548.976 303.557
0.211 206.448 48.0741 58.0047 953.712 285.995 308.447 -262.693 548.867 303.327
0.212 207.402 48.3604 58.3133 953.45 286.544 308.75 -263.07 548.757 303.096
0.213 208.355 48.6472 58.6222 953.186 287.092 309.053 -263.446 548.645 302.865
0.214 209.308 48.9346 58.9314 952.923 287.641 309.356 -263.822 548.531 302.634
0.215 210.261 49.2225 59.2409 952.659 288.189 309.659 -264.197 548.417 302.402
0.216 211.214 49.511 59.5507 952.394 288.738 309.961 -264.571 548.3 302.17
0.217 212.166 49.8 59.8608 952.129 289.286 310.263 -264.945 548.183 301.937
0.218 213.118 50.0896 60.1712 951.864 289.834 310.565 -265.317 548.064 301.704
0.219 214.069 50.3797 60.482 951.599 290.382 310.866 -265.69 547.943 301.471
0.22 215.021 50.6703 60.793 951.333 290.93 311.168 -266.061 547.822 301.237
0.221 215.972 50.9615 61.1043 951.067 291.478 311.469 -266.432 547.698 301.003
0.222 216.923 51.2533 61.4159 950.8 292.025 311.77 -266.803 547.574 300.769
0.223 217.874 51.5456 61.7278 950.533 292.573 312.07 -267.172 547.448 300.534
0.224 218.824 51.8384 62.0401 950.266 293.12 312.371 -267.541 547.32 300.299
0.225 219.774 52.1318 62.3526 949.998 293.668 312.671 -267.909 547.192 300.063
0.226 220.724 52.4258 62.6654 949.73 294.215 312.971 -268.277 547.061 299.827
0.227 221.674 52.7202 62.9785 949.461 294.762 313.271 -268.644 546.93 299.591
0.228 222.623 53.0153 63.2919 949.193 295.309 313.57 -269.01 546.797 299.354
0.229 223.572 53.3109 63.6057 948.923 295.855 313.869 -269.375 546.662 299.117
0.23 224.521 53.607 63.9197 948.654 296.402 314.168 -269.74 546.526 298.88
0.231 225.469 53.9037 64.234 948.384 296.948 314.467 -270.104 546.389 298.642
0.232 226.418 54.2009 64.5486 948.114 297.495 314.766 -270.467 546.251 298.404
0.233 227.366 54.4987 64.8635 947.843 298.041 315.064 -270.83 546.111 298.165
0.234 228.313 54.797 65.1787 947.572 298.587 315.362 -271.192 545.969 297.927
0.235 229.261 55.0958 65.4942 947.301 299.133 315.66 -271.553 545.826 297.687
0.236 230.208 55.3952 65.8101 947.029 299.679 315.957 -271.914 545.682 297.448
0.237 231.155 55.6952 66.1262 946.757 300.224 316.255 -272.273 545.537 297.208
0.238 232.101 55.9957 66.4426 946.484 300.77 316.552 -272.632 545.39 296.968
0.239 233.048 56.2967 66.7593 946.212 301.315 316.849 -272.991 545.241 296.727
0.24 233.994 56.5983 67.0763 945.938 301.86 317.145 -273.348 545.092 296.486
0.241 234.94 56.9004 67.3936 945.665 302.405 317.441 -273.705 544.941 296.245
0.242 235.885 57.2031 67.7111 945.391 302.95 317.738 -274.061 544.788 296.003
0.243 236.831 57.5063 68.029 945.117 303.495 318.034 -274.416 544.634 295.761
0.244 237.775 57.8101 68.3472 944.842 304.039 318.329 -274.771 544.479 295.519
0.245 238.72 58.1144 68.6657 944.567 304.584 318.625 -275.125 544.323 295.276
0.246 239.665 58.4193 68.9845 944.292 305.128 318.92 -275.478 544.165 295.033
0.247 240.609 58.7247 69.3035 944.016 305.672 319.215 -275.83 544.005 294.79
0.248 241.553 59.0306 69.6229 943.74 306.216 319.509 -276.182 543.845 294.546
0.249 242.496 59.3371 69.9425 943.464 306.76 319.804 -276.533 543.683 294.302
0.25 243.44 59.6441 70.2625 943.187 307.303 320.098 -276.883 543.519 294.058
0.251 244.383 59.9517 70.5827 942.91 307.847 320.392 -277.232 543.355 293.813
0.252 245.325 60.2598 70.9033 942.633 308.39 320.686 -277.581 543.188 293.568
0.253 246.268 60.5685 71.2241 942.355 308.933 320.979 -277.929 543.021 293.323
0.254 247.21 60.8777 71.5452 942.077 309.476 321.272 -278.276 542.852 293.077
0.255 248.152 61.1874 71.8667 941.798 310.019 321.565 -278.622 542.682 292.831
0.256 249.094 61.4977 72.1884 941.52 310.561 321.858 -278.967 542.51 292.584
0.257 250.035 61.8086 72.5104 941.24 311.104 322.15 -279.312 542.337 292.338
0.258 250.976 62.1199 72.8327 940.961 311.646 322.442 -279.656 542.163 292.091
0.259 251.917 62.4319 73.1553 940.681 312.188 322.734 -279.999 541.988 291.843
0.26 252.858 62.7443 73.4781 940.401 312.73 323.026 -280.342 541.811 291.596
0.261 253.798 63.0573 73.8013 940.12 313.272 323.318 -280.683 541.632 291.348
0.262 254.738 63.3709 74.1248 939.84 313.813 323.609 -281.024 541.453 291.099
0.263 255.677 63.6849 74.4485 939.558 314.355 323.9 -281.364 541.272 290.851
0.264 256.617 63.9996 74.7726 939.277 314.896 324.191 -281.703 541.089 290.602
0.265 257.556 64.3147 75.0969 938.995 315.437 324.481 -282.041 540.906 290.352
0.266 258.495 64.6304 75.4215 938.713 315.978 324.771 -282.379 540.721 290.103
0.267 259.433 64.9467 75.7464 938.43 316.518 325.061 -282.716 540.535 289.853
0.268 260.372 65.2635 76.0717 938.147 317.059 325.351 -283.052 540.347 289.603
0.269 261.31 65.5808 76.3972 937.864 317.599 325.64 -283.387 540.158 289.352
0.27 262.247 65.8987 76.7229 937.581 318.139 325.93 -283.721 539.968 289.101
0.271 263.185 66.2171 77.049 937.297 318.679 326.219 -284.055 539.776 288.85
0.272 264.122 66.536 77.3754 937.013 319.219 326.507 -284.387 539.583 288.599
0.273 265.059 66.8555 77.702 936.728 319.758 326.796 -284.719 539.389 288.347
0.274 265.996 67.1756 78.029 936.443 320.297 327.084 -285.05 539.193 288.095
0.275 266.932 67.4961 78.3562 936.158 320.836 327.372 -285.381 538.996 287.843
0.276 267.868 67.8172 78.6837 935.872 321.375 327.66 -285.71 538.798 287.59
0.277 268.804 68.1389 79.0115 935.586 321.914 327.947 -286.039 538.599 287.337
0.278 269.739 68.4611 79.3396 935.3 322.453 328.234 -286.366 538.398 287.084
0.279 270.674 68.7838 79.668 935.014 322.991 328.521 -286.693 538.196 286.83
0.28 271.609 69.107 79.9966 934.727 323.529 328.808 -287.019 537.992 286.576
0.281 272.544 69.4308 80.3256 934.44 324.067 329.095 -287.344 537.787 286.322
0.282 273.478 69.7552 80.6548 934.152 324.604 329.381 -287.669 537.581 286.068
0.283 274.412 70.08 80.9844 933.864 325.142 329.667 -287.992 537.374 285.813
0.284 275.346 70.4055 81.3142 933.576 325.679 329.952 -288.315 537.165 285.558
0.285 276.279 70.7314 81.6443 933.288 326.216 330.238 -288.637 536.955 285.303
0.286 277.212 71.0579 81.9746 932.999 326.753 330.523 -288.958 536.744 285.047
0.287 278.145 71.3849 82.3053 932.71 327.29 330.808 -289.278 536.532 284.791
0.288 279.078 71.7125 82.6363 932.42 327.826 331.093 -289.597 536.318 284.535
0.289 280.01 72.0406 82.9675 932.131 328.362 331.377 -289.916 536.103 284.278
0.29 280.942 72.3692 83.299 931.841 328.898 331.661 -290.233 535.886 284.022
0.291 281.874 72.6984 83.6308 931.55 329.434 331.945 -290.55 535.669 283.765
0.292 282.805 73.0281 83.9629 931.259 329.97 332.229 -290.866 535.45 283.507
0.293 283.736 73.3583 84.2953 930.968 330.505 332.512 -291.181 535.229 283.25
0.294 284.667 73.6891 84.6279 930.677 331.04 332.795 -291.495 535.008 282.992
