tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0240000000 0.0181891726 0.0105015237 0.0334363032 3000.0000000000 0.0000000000 3000.0000000000 -0.0000868015 -0.4999478568 -0.0000863847 -0.0000863847 0.0000000000 2.3435749021 59.9999994622 -0.0002325770 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 -0.0000002215 -0.0000015437 1.1513711036 0.0079919674
0.0250000000 0.0195976913 0.0113147324 0.0360081752 3000.0000000000 0.0000000000 3000.0000000000 -0.0000976387 -0.4999424519 -0.0000980657 -0.0000980657 0.0000000000 2.3087099347 59.9999993700 -0.0002603945 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000002384 -0.0000016645 1.1550821987 0.0084567753
0.0260000000 0.0210843923 0.0121730796 0.0387266060 3000.0000000000 0.0000000000 3000.0000000000 -0.0001096943 -0.4999366463 -0.0001109486 -0.0001109486 0.0000000000 2.2724908969 59.9999992655 -0.0002911112 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000002563 -0.0000017922 1.1590387987 0.0089420701
0.0270000000 0.0226522988 0.0130783108 0.0415976421 3000.0000000000 0.0000000000 3000.0000000000 -0.0001230668 -0.4999304239 -0.0001251228 -0.0001251228 0.0000000000 2.2353451395 59.9999991474 -0.0003249441 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000002753 -0.0000019269 1.1631942653 0.0094478612
0.0280000000 0.0243044353 0.0140321723 0.0446273330 3000.0000000000 0.0000000000 3000.0000000000 -0.0001378594 -0.4999237690 -0.0001406814 -0.0001406814 0.0000000000 2.1976271242 59.9999990145 -0.0003621194 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000002955 -0.0000020692 1.1675088106 0.0099741578
0.0290000000 0.0260438277 0.0150364109 0.0478217300 3000.0000000000 0.0000000000 3000.0000000000 -0.0001541799 -0.4999166662 -0.0001577213 -0.0001577213 -0.0004865264 2.1596291714 59.9999988653 -0.0004028725 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000003169 -0.0000022191 1.1719484697 0.0105209690
0.0300000000 0.0278735029 0.0160927744 0.0511868874 3000.0000000000 0.0000000000 3000.0000000000 -0.0001721408 -0.4999091000 -0.0001763430 -0.0001763430 -0.0005163570 2.1215908775 59.9999986983 -0.0004474481 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000003396 -0.0000023770 1.1764842368 0.0110883039
0.0310000000 0.0297964890 0.0172030109 0.0547288617 3000.0000000000 0.0000000000 3000.0000000000 -0.0001918592 -0.4999010555 -0.0001966509 -0.0001966509 -0.0005469783 2.0837072868 59.9999985118 -0.0004961003 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000003636 -0.0000025432 1.1810913373 0.0116761717
0.0320000000 0.0318158154 0.0183688696 0.0584537116 3000.0000000000 0.0000000000 3000.0000000000 -0.0002134567 -0.4998925180 -0.0002187531 -0.0002187531 -0.0005784022 2.0461359299 59.9999983041 -0.0005490923 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000003889 -0.0000027180 1.1857486139 0.0122845812
0.0330000000 0.0339345128 0.0195921001 0.0623674988 3000.0000000000 0.0000000000 3000.0000000000 -0.0002370598 -0.4998834729 -0.0002427613 -0.0002427613 -0.0006106397 2.0090028499 59.9999980733 -0.0006066968 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000004157 -0.0000029016 1.1904380055 0.0129135415
0.0340000000 0.0361556129 0.0208744528 0.0664762869 3000.0000000000 0.0000000000 3000.0000000000 -0.0002627996 -0.4998739061 -0.0002687912 -0.0002687912 -0.0006437012 1.9724077365 59.9999978176 -0.0006691957 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000004440 -0.0000030943 1.1951441065 0.0135630615
0.0350000000 0.0384821488 0.0222176790 0.0707861423 3000.0000000000 0.0000000000 3000.0000000000 -0.0002908116 -0.4998638038 -0.0002969620 -0.0002969620 -0.0006775960 1.9364282843 59.9999975347 -0.0007368802 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000004738 -0.0000032964 1.1998537916 0.0142331501
