tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.1020 0.5302 0.0000 0.8608 0.0000 1.0315 9.4639 0.0000 15.8145 0.0532 18.4300 169.3698 0.0000 4.6970 3000.0000 0.0000 3000.0000
0.1040 0.5495 0.0000 0.8931 0.0000 1.0320 9.6297 0.0000 16.1099 0.0542 18.7686 169.3107 0.0000 4.6984 3000.0000 0.0000 3000.0000
0.1060 0.5691 0.0000 0.9259 0.0000 1.0325 9.7954 0.0000 16.4053 0.0552 19.1072 169.2516 0.0000 4.6996 3000.0000 0.0000 3000.0000
0.1080 0.5890 0.0000 0.9593 0.0000 1.0330 9.9608 0.0000 16.7007 0.0561 19.4455 169.1924 0.0000 4.7007 3000.0000 0.0000 3000.0000
0.1100 0.6092 0.0000 0.9933 0.0000 1.0335 10.1260 0.0000 16.9960 0.0571 19.7838 169.1333 0.0000 4.7017 3000.0000 0.0000 3000.0000
0.1120 0.6298 0.0000 1.0278 0.0000 1.0339 10.2909 0.0000 17.2913 0.0581 20.1220 169.0742 0.0000 4.7026 3000.0000 0.0000 3000.0000
0.1140 0.6507 0.0000 1.0630 0.0000 1.0344 10.4557 0.0000 17.5866 0.0591 20.4600 169.0150 0.0000 4.7034 3000.0000 0.0000 3000.0000
0.1160 0.6720 0.0000 1.0988 0.0000 1.0349 10.6203 0.0000 17.8819 0.0601 20.7979 168.9559 0.0000 4.7040 3000.0000 0.0000 3000.0000
0.1180 0.6935 0.0000 1.1351 0.0000 1.0353 10.7847 0.0000 18.1771 0.0611 21.1357 168.8967 0.0000 4.7045 3000.0000 0.0000 3000.0000
0.1200 0.7154 0.0000 1.1721 0.0000 1.0357 10.9490 0.0000 18.4723 0.0621 21.4734 168.8376 0.0000 4.7049 3000.0000 0.0000 3000.0000
0.1220 0.7377 0.0000 1.2096 0.0000 1.0362 11.1130 0.0000 18.7675 0.0631 21.8109 168.7784 0.0000 4.7052 3000.0000 0.0000 3000.0000
