TOF E N U E_V N_V U_V U_DOT V_DOT W_DOT TGT_E TGT_N TGT_U LETHALITY
0.23000000000000007 35.243407845174836 11.145590965110552 68.68018074050646 156.71475148075996 46.787129151869145 297.0761389363673 0.0 -21.513147571460323 -26.79360095984974 3000.0 0.0 3000.0 flying
0.24000000000000007 36.81055535998244 11.613462256629242 71.65094212987013 157.00100623097737 46.648645521670666 296.94694279598923 0.0 -21.458575907820414 -26.788820904323106 3000.0 0.0 3000.0 flying
0.25000000000000006 38.380565422292214 12.07994871184595 74.62041155783002 157.28678410946554 46.51026713404358 296.8175855115961 0.0 -21.40414056857773 -26.78379317293965 3000.0 0.0 3000.0 flying
0.26000000000000006 39.95343326338687 12.545051383186385 77.58858741294598 157.57208483736412 46.37199454065188 296.6880684593196 0.0 -21.349841327760412 -26.778519335666605 3000.0 0.0 3000.0 flying
0.2700000000000001 41.52915411176051 13.008771328592903 80.55546809753918 157.85690814130467 46.23382829107529 296.5583930145304 0.0 -21.295677956234673 -26.77300095420592 3000.0 0.0 3000.0 flying
0.2800000000000001 43.107723193173555 13.471109611503657 83.52105202768448 158.1412537533991 46.095768932804766 296.42856055181323 0.0 -21.24165022177973 -26.76723958203048 3000.0 0.0 3000.0 flying
0.2900000000000001 44.68913573070755 13.932067300831704 86.4853376332026 158.42512141122785 45.957817011238085 296.29857244494195 0.0 -21.187757889161325 -26.76123676441989 3000.0 0.0 3000.0 flying
0.3000000000000001 46.273386944819826 14.391645470944086 89.44832335765203 158.70851085782814 45.81997306967553 296.16843006685457 0.0 -21.134000720204302 -26.75499403849711 3000.0 0.0 3000.0 flying
0.3100000000000001 47.860472053398105 14.849845201640841 92.41000765832058 158.99142184168196 45.68223764931561 296.03813478962866 0.0 -21.080378473863963 -26.748512933264717 3000.0 0.0 3000.0 flying
0.3200000000000001 49.45038627181493 15.306667578133997 95.37038900621687 159.27385411670392 45.5446112892509 295.9076879844565 0.0 -21.026890906296266 -26.741794969641653 3000.0 0.0 3000.0 flying
0.3300000000000001 51.043124812981965 15.762113691026507 98.32946588606143 159.5558074422291 45.407094526463915 295.7770910216207 0.0 -20.97353777092709 -26.734841660500045 3000.0 0.0 3000.0 flying
0.34000000000000014 52.63868288740426 16.216184636291146 101.28723679627764 159.83728158300073 45.269687895823076 295.6463452704698 0.0 -20.920318818520116 -26.72765451070196 3000.0 0.0 3000.0 flying
0.35000000000000014 54.23705570323426 16.668881515249378 104.24370024898234 160.11827630915764 45.132391930078775 295.5154520993938 0.0 -20.867233797243983 -26.720235017136662 3000.0 0.0 3000.0 flying
0.36000000000000015 55.83823846632584 17.120205434550165 107.19885476997628 160.3987913962218 44.995207159859476 295.3844128758001 0.0 -20.814282452738148 -26.712584668757664 3000.0 0.0 3000.0 flying
0.37000000000000016 57.44222638028806 17.57015750614876 110.15269889873429 160.67882662508563 44.85813411366791 295.2532289660892 0.0 -20.76146452817767 -26.70470494661992 3000.0 0.0 3000.0 flying
0.38000000000000017 59.04901464653892 18.01873884728544 113.10523118839518 160.9583817819991 44.72117331787735 295.12190173563096 0.0 -20.708779764337248 -26.696597323917366 3000.0 0.0 3000.0 flying
0.3900000000000002 60.65859846435891 18.465950580464213 116.05645020575149 161.2374566585569 44.584325296727954 294.99043254874056 0.0 -20.656227899653814 -26.688263266020183 3000.0 0.0 3000.0 flying
0.4000000000000002 62.27097303094448 18.911793833431492 119.0063545312389 161.51605105168545 44.44759057232317 294.85882276865476 0.0 -20.60380867028854 -26.679704230512428 3000.0 0.0 3000.0 flying
0.4100000000000002 63.886133541461334 19.356269739154722 121.95494275892544 161.79416476362962 44.31096966462624 294.72707375750815 0.0 -20.55152181018753 -26.670921667229567 3000.0 0.0 3000.0 flying
0.4200000000000002 65.50407518909763 19.799379435800986 124.90221349650052 162.07179760193966 44.17446309145677 294.5951868763098 0.0 -20.499367051141736 -26.66191701829615 3000.0 0.0 3000.0 flying
0.4300000000000002 67.12479316511703 20.241124066715553 127.84816536526363 162.34894937945774 44.03807136848736 294.4631634849196 0.0 -20.447344122845767 -26.652691718163396 3000.0 0.0 3000.0 flying
0.4400000000000002 68.7482826589116 20.681504780400427 130.7927970001128 162.62561991430445 43.9017950092403 294.3310049420252 0.0 -20.395452752955812 -26.643247193647042 3000.0 0.0 3000.0 flying
0.45000000000000023 70.37453885805465 21.12052273049283 133.73610704953308 162.90180902986535 43.76563452508441 294.1987126051184 0.0 -20.343692667146655 -26.63358486396513 3000.0 0.0 3000.0 flying
