tof posX posY posZ tgtX tgtY tgtZ normAch pitchRate alpha theta sideAch yawRate beta psi rollRate phi
0.0670000000 0.1995707255 0.0726378037 0.3455075498 5000.0000000000 0.0000000000 3000.0000000000 -0.4992818324 -0.0000520742 0.0216954395 1.0471968169 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0680000000 0.2071715763 0.0754042872 0.3588507109 5000.0000000000 0.0000000000 3000.0000000000 -0.4992566177 -0.0000550754 0.0215281988 1.0471967633 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0690000000 0.2149378868 0.0782309930 0.3724890532 5000.0000000000 0.0000000000 3000.0000000000 -0.4992312022 -0.0000581955 0.0213680631 1.0471967067 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0700000000 0.2228697374 0.0811179505 0.3864227259 5000.0000000000 0.0000000000 3000.0000000000 -0.4992056017 -0.0000614369 0.0212145780 1.0471966468 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0710000000 0.2309672088 0.0840651891 0.4006518779 5000.0000000000 0.0000000000 3000.0000000000 -0.4991798324 -0.0000648019 0.0210673270 1.0471965837 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0720000000 0.2392303817 0.0870727381 0.4151766586 5000.0000000000 0.0000000000 3000.0000000000 -0.4991539108 -0.0000682928 0.0209259278 1.0471965172 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0730000000 0.2476593368 0.0901406268 0.4299972170 5000.0000000000 0.0000000000 3000.0000000000 -0.4991278538 -0.0000719117 0.0207900285 1.0471964471 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0740000000 0.2562541548 0.0932688847 0.4451137023 5000.0000000000 0.0000000000 3000.0000000000 -0.4991016786 -0.0000756611 0.0206593049 1.0471963733 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0750000000 0.2650149163 0.0964575412 0.4605262639 5000.0000000000 0.0000000000 3000.0000000000 -0.4990754027 -0.0000795432 0.0205334579 1.0471962957 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0760000000 0.2739417022 0.0997066255 0.4762350509 5000.0000000000 0.0000000000 3000.0000000000 -0.4990490442 -0.0000835602 0.0204122109 1.0471962141 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0770000000 0.2830345930 0.1030161671 0.4922402126 5000.0000000000 0.0000000000 3000.0000000000 -0.4990226211 -0.0000877146 0.0202953077 1.0471961285 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0780000000 0.2922936697 0.1063861954 0.5085418983 5000.0000000000 0.0000000000 3000.0000000000 -0.4989961522 -0.0000920085 0.0201825110 1.0471960386 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0790000000 0.3017190129 0.1098167398 0.5251402573 5000.0000000000 0.0000000000 3000.0000000000 -0.4989696563 -0.0000964443 0.0200736003 1.0471959444 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0800000000 0.3113107034 0.1133078296 0.5420354389 5000.0000000000 0.0000000000 3000.0000000000 -0.4989431527 -0.0001010242 0.0199683707 1.0471958457 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0810000000 0.3210688220 0.1168594944 0.5592275926 5000.0000000000 0.0000000000 3000.0000000000 -0.4989166612 -0.0001057506 0.0198666312 1.0471957423 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0820000000 0.3309934495 0.1204717634 0.5767168676 5000.0000000000 0.0000000000 3000.0000000000 -0.4988902016 -0.0001106258 0.0197682041 1.0471956341 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0830000000 0.3410846667 0.1241446661 0.5945034135 5000.0000000000 0.0000000000 3000.0000000000 -0.4988637943 -0.0001156520 0.0196729233 1.0471955210 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0840000000 0.3513425545 0.1278782319 0.6125873795 5000.0000000000 0.0000000000 3000.0000000000 -0.4988374600 -0.0001208315 0.0195806337 1.0471954027 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0850000000 0.3617671937 0.1316724902 0.6309689153 5000.0000000000 0.0000000000 3000.0000000000 -0.4988112197 -0.0001261668 0.0194911904 1.0471952792 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0860000000 0.3723586651 0.1355274706 0.6496481701 5000.0000000000 0.0000000000 3000.0000000000 -0.4987850948 -0.0001316599 0.0194044573 1.0471951503 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0870000000 0.3831170496 0.1394432023 0.6686252936 5000.0000000000 0.0000000000 3000.0000000000 -0.4987591070 -0.0001373134 0.0193203071 1.0471950158 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0880000000 0.3940424282 0.1434197149 0.6879004352 5000.0000000000 0.0000000000 3000.0000000000 -0.4987332785 -0.0001431294 0.0192386204 1.0471948756 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0890000000 0.4051348816 0.1474570378 0.7074737445 5000.0000000000 0.0000000000 3000.0000000000 -0.4987076316 -0.0001491103 0.0191592848 1.0471947295 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0900000000 0.4163944910 0.1515552004 0.7273453709 5000.0000000000 0.0000000000 3000.0000000000 -0.4986821891 -0.0001552583 0.0190821948 1.0471945773 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0910000000 0.4278213371 0.1557142323 0.7475154642 5000.0000000000 0.0000000000 3000.0000000000 -0.4986569742 -0.0001615758 0.0190072511 1.0471944189 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0920000000 0.4394155009 0.1599341628 0.7679841739 5000.0000000000 0.0000000000 3000.0000000000 -0.4986320103 -0.0001680652 0.0189343600 1.0471942541 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0930000000 0.4511770635 0.1642150215 0.7887516495 5000.0000000000 0.0000000000 3000.0000000000 -0.4986073214 -0.0001747286 0.0188634334 1.0471940827 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0940000000 0.4631061057 0.1685568378 0.8098180408 5000.0000000000 0.0000000000 3000.0000000000 -0.4985829316 -0.0001815684 0.0187943880 1.0471939045 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0950000000 0.4752027087 0.1729596412 0.8311834974 5000.0000000000 0.0000000000 3000.0000000000 -0.4985588654 -0.0001885870 0.0187271451 1.0471937194 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
