timeOfFlight(s) posEast(m) posNorth(m) posUp(m) velEast(m/s) velNorth(m/s) velUp(m/s) accEast(m/s^2) accNorth(m/s^2) accUp(m/s^2) alpha(rads) beta(rads) normalAccCommand(m/s^2) normalAccAchieved(m/s^2) sideAccCommand(m/s^2) sideAccAchieved(m/s^2) targetEast(m) targetNorth(m) targetUp(m)
0.02900000000000002 0.06684730115619955 -0.038594377374117486 0.20219283326060786 4.208383620556752 -2.4297239761874425 12.590105990736642 137.12864651058882 -79.1731869374117 400.7585043366252 3.587476863873331e-07 -3.5100955947467247e-06 -0.020039800478612996 -4.201236871556407e-08 0.20011413072671455 4.1046135583302665e-07 3000 3000 3000
0.03000000000000002 0.07119290617639024 -0.04110332835482353 0.21518365597529027 4.345605020190679 -2.508950980706048 12.990822714682395 137.2213996339273 -79.22700451860544 400.71672394575154 4.056922036610345e-07 -3.975055541790976e-06 -0.021352706008702593 -5.090894018690178e-08 0.2135349576673507 4.981084295860024e-07 3000 3000 3000
0.03100000000000002 0.0756758225114129 -0.043691558545351714 0.22857515484877416 4.482916335022671 -2.5882301905281837 13.391498873483886 137.31131483199172 -79.27920982213595 400.6761588014922 4.5697793875626356e-07 -4.483751218430626e-06 -0.022706195178687157 -6.130500724621968e-08 0.2273914292492683 6.006790532226285e-07 3000 3000 3000
0.03200000000000002 0.08029613740593762 -0.046359118636952724 0.24236729045898042 4.620314894524715 -2.6675600916010116 13.792135610206264 137.39855950204398 -79.32990107282785 400.63673672237826 5.128474981345938e-07 -5.038696991768934e-06 -0.024100201537072943 -7.339329315275148e-08 0.24168354872423625 7.20116311295327e-07 3000 3000 3000
0.03300000000000002 0.08505393558689794 -0.049106057896652934 0.25656002446093 4.757798180960318 -2.7469392597002082 14.192734001949573 137.48328643560262 -79.37916809919678 400.5983917433079 5.73548299141921e-07 -5.6424614876859446e-06 -0.025534660321495213 -8.738430123116965e-08 0.2564113189717177 8.585457028582699e-07 3000 3000 3000
0.03400000000000002 0.08994929940332182 -0.0519324242496357 0.27115331952629834 4.8953638164238695 -2.8263663529827636 14.593295065368336 137.5656354635516 -79.42709328255522 400.5610634187627 6.393324548952801e-07 -6.2976664723569916e-06 -0.02700950833859729 -1.0350440557702113e-07 0.27157474251399283 1.0182570903865346e-06 3000 3000 3000
0.035000000000000024 0.09498230895462138 -0.054838264354994296 0.2861471392878878 5.033009551299562 -2.905840105358594 14.993819761589485 137.64573487569294 -79.47375237583019 400.5246962211498 7.104566618860305e-07 -7.006985756503312e-06 -0.028524683853207743 -1.2200094849994693e-07 0.2871738215300682 1.201755482755721e-06 3000 3000 3000
0.036000000000000025 0.10015304220857177 -0.05782362367556596 0.3015414482884964 5.170733253950388 -2.9853593205716686 15.394309000608574 137.72370265082557 -79.5192152130747 400.48923901909 7.871820902151538e-07 -7.77314412189296e-06 -0.030080126485768476 -1.4314068946179078e-07 0.3032085578685055 1.4117465935061165e-06 3000 3000 3000
0.037000000000000026 0.10546157511004912 -0.0608885465424643 0.3173362119337282 5.308532901477356 -3.064922866898334 15.794763645231791 137.7996475269682 -79.5635463266654 400.4546446232166 8.697742763803508e-07 -8.598916269622742e-06 -0.031675777117106174 -1.6721142583764942e-07 0.31967895305929284 1.6511535616039287e-06 3000 3000 3000
0.03800000000000003 0.1109079816814625 -0.06403307621484888 0.3335313964483492 5.446406571413381 -3.1445296723845915 16.195184514621044 137.8736699360251 -79.60680548625737 400.42086938925263 9.58503018538108e-07 -9.487125789722442e-06 -0.03331157779976182 -1.945228649872974e-07 0.33658500832485716 1.9231263490056065e-06 3000 3000 3000
0.03900000000000003 0.1164923341156989 -0.06725725493540458 0.35012696883584016 5.584352434236392 -3.224178720555686 16.595572387490947 137.94586282301015 -79.64904817109465 400.3878728699031 1.0536422741668164e-06 -1.0440644151629912e-05 -0.034987471675191624 -2.254080751683774e-07 0.35392672459030994 2.2310568895940034e-06 3000 3000 3000
0.04000000000000003 0.12221470286230181 -0.0705611239819456 0.36712289684083965 5.722368746602916 -3.303869046541028 16.99592800499947 138.0163123665243 -79.690325985342 400.3556175085244 1.1554700600600472e-06 -1.146238971509597e-05 -0.036703402896243326 -2.6022323345519e-07 0.37170410249300345 2.578577423480667e-06 3000 3000 3000
0.04100000000000003 0.1280751567075192 -0.07394472371551108 0.3845191489142078 5.8604538452173855 -3.3835997335654837 17.396252073368153 138.0850986144695 -79.73068702445555 400.3240683686833 1.2642683545817686e-06 -1.255532676108681e-05 -0.038459316554379924 -2.9935043751038276e-07 0.38991714239146447 2.9695891697109087e-06 3000 3000 3000
0.04200000000000003 0.13407376284878325 -0.07740809362527598 0.40231569418047064 5.998606141264052 -3.46336990976489 17.79654526626283 138.15229604666567 -79.77017619940622 400.2931928946761 1.3803230021177625e-06 -1.3722464542260014e-05 -0.04025515861119057 -3.4319669218183624e-07 0.40856584437376875 3.4082531594489576e-06 3000 3000 3000
0.04300000000000003 0.1402105869641216 -0.08095127237056525 0.4205125024074323 6.13682411533833 -3.5431787452892682 18.196808226961664 138.21797407427806 -79.80883552437841 400.2629606988374 1.5039236196598464e-06 -1.4966856352598645e-05 -0.042090875833779275 -3.9219771501412634e-07 0.42765020826540534 3.899028872169091e-06 3000 3000 3000
