TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A tgtE tgtN tgtU
0.127 124.472 25.9034 36.5831 956.934 238.335 337.599 -417.469 543.533 799.608 5000 10000 12500
0.128 125.429 26.142 36.921 956.516 238.879 338.399 -418.739 543.478 799.959 5000 10000 12500
0.129 126.385 26.3811 37.2598 956.097 239.422 339.199 -420.01 543.42 800.306 5000 10000 12500
0.13 127.341 26.6208 37.5994 955.676 239.965 340 -421.281 543.358 800.65 5000 10000 12500
0.131 128.296 26.861 37.9398 955.254 240.509 340.8 -422.552 543.293 800.99 5000 10000 12500
0.132 129.251 27.1018 38.281 954.831 241.052 341.602 -423.823 543.223 801.326 5000 10000 12500
0.133 130.206 27.3432 38.6231 954.407 241.595 342.403 -425.095 543.151 801.659 5000 10000 12500
0.134 131.16 27.585 38.9659 953.981 242.138 343.205 -426.367 543.075 801.989 5000 10000 12500
0.135 132.114 27.8274 39.3095 953.554 242.681 344.007 -427.639 542.995 802.314 5000 10000 12500
0.136 133.067 28.0704 39.6539 953.126 243.224 344.81 -428.911 542.911 802.636 5000 10000 12500
0.137 134.02 28.3139 39.9991 952.696 243.767 345.612 -430.183 542.824 802.954 5000 10000 12500
0.138 134.973 28.5579 40.3451 952.265 244.31 346.415 -431.455 542.734 803.269 5000 10000 12500
0.139 135.925 28.8025 40.6919 951.833 244.853 347.219 -432.728 542.639 803.579 5000 10000 12500
0.14 136.876 29.0476 41.0395 951.4 245.395 348.023 -434 542.541 803.887 5000 10000 12500
0.141 137.827 29.2933 41.388 950.965 245.938 348.827 -435.273 542.44 804.19 5000 10000 12500
0.142 138.778 29.5395 41.7372 950.529 246.48 349.631 -436.545 542.335 804.49 5000 10000 12500
0.143 139.728 29.7862 42.0872 950.092 247.022 350.436 -437.818 542.226 804.785 5000 10000 12500
0.144 140.678 30.0335 42.4381 949.654 247.565 351.241 -439.091 542.114 805.078 5000 10000 12500
0.145 141.628 30.2814 42.7897 949.214 248.107 352.046 -440.363 541.997 805.366 5000 10000 12500
0.146 142.577 30.5298 43.1421 948.773 248.649 352.851 -441.636 541.878 805.651 5000 10000 12500
0.147 143.525 30.7787 43.4954 948.331 249.19 353.657 -442.908 541.754 805.931 5000 10000 12500
0.148 144.473 31.0281 43.8495 947.887 249.732 354.463 -444.18 541.627 806.208 5000 10000 12500
0.149 145.421 31.2781 44.2043 947.442 250.274 355.269 -445.453 541.497 806.482 5000 10000 12500
0.15 146.368 31.5287 44.56 946.996 250.815 356.076 -446.725 541.362 806.751 5000 10000 12500
0.151 147.315 31.7798 44.9165 946.549 251.356 356.883 -447.997 541.224 807.017 5000 10000 12500
0.152 148.261 32.0314 45.2738 946.1 251.898 357.69 -449.268 541.082 807.279 5000 10000 12500
0.153 149.207 32.2836 45.6319 945.65 252.439 358.498 -450.54 540.937 807.537 5000 10000 12500
0.154 150.153 32.5363 45.9908 945.199 252.979 359.305 -451.811 540.788 807.791 5000 10000 12500
0.155 151.098 32.7895 46.3505 944.747 253.52 360.113 -453.082 540.635 808.041 5000 10000 12500
0.156 152.042 33.0433 46.711 944.293 254.061 360.921 -454.353 540.478 808.288 5000 10000 12500
0.157 152.986 33.2976 47.0723 943.838 254.601 361.73 -455.624 540.318 808.53 5000 10000 12500
0.158 153.93 33.5525 47.4344 943.382 255.141 362.538 -456.894 540.154 808.769 5000 10000 12500
0.159 154.873 33.8079 47.7974 942.924 255.681 363.347 -458.164 539.986 809.004 5000 10000 12500
0.16 155.816 34.0639 48.1611 942.465 256.221 364.156 -459.434 539.815 809.235 5000 10000 12500
0.161 156.758 34.3204 48.5257 942.005 256.761 364.966 -460.703 539.64 809.462 5000 10000 12500
0.162 157.7 34.5774 48.8911 941.544 257.301 365.775 -461.972 539.461 809.685 5000 10000 12500
0.163 158.641 34.835 49.2573 941.081 257.84 366.585 -463.24 539.278 809.905 5000 10000 12500
0.164 159.582 35.0931 49.6242 940.617 258.379 367.395 -464.508 539.092 810.12 5000 10000 12500
0.165 160.522 35.3517 49.992 940.152 258.918 368.205 -465.775 538.902 810.332 5000 10000 12500
0.166 161.462 35.6109 50.3607 939.686 259.457 369.016 -467.042 538.708 810.539 5000 10000 12500
0.167 162.402 35.8706 50.7301 939.218 259.996 369.826 -468.309 538.51 810.743 5000 10000 12500
0.168 163.341 36.1309 51.1003 938.749 260.534 370.637 -469.575 538.309 810.942 5000 10000 12500
0.169 164.279 36.3917 51.4714 938.279 261.072 371.448 -470.841 538.104 811.138 5000 10000 12500
0.17 165.217 36.6531 51.8432 937.808 261.61 372.26 -472.106 537.895 811.33 5000 10000 12500
0.171 166.155 36.9149 52.2159 937.335 262.148 373.071 -473.37 537.682 811.518 5000 10000 12500
0.172 167.092 37.1773 52.5893 936.861 262.686 373.883 -474.634 537.466 811.702 5000 10000 12500
0.173 168.028 37.4403 52.9636 936.386 263.223 374.694 -475.897 537.246 811.882 5000 10000 12500
0.174 168.965 37.7038 53.3387 935.909 263.76 375.506 -477.159 537.022 812.058 5000 10000 12500
0.175 169.9 37.9678 53.7146 935.431 264.297 376.318 -478.421 536.794 812.229 5000 10000 12500
0.176 170.835 38.2324 54.0914 934.952 264.834 377.131 -479.682 536.563 812.397 5000 10000 12500
0.177 171.77 38.4975 54.4689 934.472 265.37 377.943 -480.943 536.328 812.561 5000 10000 12500
0.178 172.704 38.7631 54.8473 933.99 265.906 378.756 -482.202 536.089 812.721 5000 10000 12500
0.179 173.638 39.0293 55.2264 933.507 266.442 379.569 -483.461 535.846 812.877 5000 10000 12500
0.18 174.571 39.296 55.6064 933.023 266.978 380.382 -484.719 535.599 813.029 5000 10000 12500
0.181 175.504 39.5633 55.9872 932.538 267.513 381.195 -485.977 535.349 813.177 5000 10000 12500
0.182 176.437 39.831 56.3688 932.051 268.049 382.008 -487.233 535.095 813.321 5000 10000 12500
0.183 177.368 40.0994 56.7512 931.564 268.584 382.821 -488.489 534.837 813.461 5000 10000 12500
0.184 178.3 40.3682 57.1344 931.074 269.118 383.635 -489.744 534.575 813.596 5000 10000 12500
0.185 179.23 40.6376 57.5185 930.584 269.653 384.449 -490.998 534.309 813.728 5000 10000 12500
0.186 180.161 40.9075 57.9033 930.092 270.187 385.262 -492.251 534.04 813.856 5000 10000 12500
0.187 181.091 41.178 58.289 929.6 270.721 386.076 -493.503 533.767 813.979 5000 10000 12500
0.188 182.02 41.449 58.6755 929.105 271.254 386.89 -494.754 533.49 814.099 5000 10000 12500
0.189 182.949 41.7205 59.0628 928.61 271.788 387.704 -496.004 533.209 814.214 5000 10000 12500
0.19 183.877 41.9925 59.4509 928.113 272.321 388.519 -497.253 532.925 814.326 5000 10000 12500
