tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0230000000 0.0293666649 0.0051781354 0.0223150123 4000.0000000000 0.0000000000 3000.0000000000 0.0000093817 -0.7659697419 -0.0001073106 -0.0001073106 0.0000000000 3.5722888407 39.9999993381 -0.0000770007 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000121 -0.0000004773 1.0714839126 0.0076978480
0.0240000000 0.0316896798 0.0055877456 0.0240589642 4000.0000000000 0.0000000000 3000.0000000000 0.0000100216 -0.7659618684 -0.0001222117 -0.0001222117 0.0000000000 3.5236464003 39.9999992234 -0.0000862897 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000139 -0.0000005155 1.0732577221 0.0081488945
0.0250000000 0.0341436408 0.0060204451 0.0259046821 4000.0000000000 0.0000000000 3000.0000000000 0.0000106197 -0.7659534131 -0.0001388021 -0.0001388021 0.0000000000 3.4722229582 39.9999990929 -0.0000965655 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000157 -0.0000005560 1.0751616855 0.0086203996
0.0260000000 0.0367338132 0.0064771624 0.0278566524 4000.0000000000 0.0000000000 3000.0000000000 0.0000111633 -0.7659443539 -0.0001572385 -0.0001572385 0.0000000000 3.4187699994 39.9999989448 -0.0001079036 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000175 -0.0000005987 1.0771660549 0.0091123738
0.0270000000 0.0394654643 0.0069588262 0.0299193632 4000.0000000000 0.0000000000 3000.0000000000 0.0000116387 -0.7659346696 -0.0001776876 -0.0001776876 0.0000000000 3.3639151316 39.9999987774 -0.0001203828 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000192 -0.0000006437 1.0792457412 0.0096248274
0.0280000000 0.0423438636 0.0074663656 0.0320973045 4000.0000000000 0.0000000000 3000.0000000000 0.0000120313 -0.7659243391 -0.0002003265 -0.0002003265 -0.0006630580 3.3081797317 39.9999985884 -0.0001340852 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000209 -0.0000006913 1.0813796677 0.0101577708
0.0290000000 0.0453742826 0.0080007103 0.0343949678 4000.0000000000 0.0000000000 3000.0000000000 0.0000123250 -0.7659133423 -0.0002253432 -0.0002253432 -0.0007095351 3.2519945715 39.9999983755 -0.0001490962 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000226 -0.0000007414 1.0835501975 0.0107112143
0.0300000000 0.0485619949 0.0085627899 0.0368168470 4000.0000000000 0.0000000000 3000.0000000000 0.0000125028 -0.7659016595 -0.0002529366 -0.0002529366 -0.0007582234 3.1957134924 39.9999981364 -0.0001655045 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000242 -0.0000007941 1.0857426317 0.0112851680
0.0310000000 0.0519122764 0.0091535350 0.0393674371 4000.0000000000 0.0000000000 3000.0000000000 0.0000125467 -0.7658892719 -0.0002833169 -0.0002833169 -0.0008092044 3.1396252672 39.9999978683 -0.0001834024 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000257 -0.0000008496 1.0879447733 0.0118796419
0.0320000000 0.0554304050 0.0097738760 0.0420512356 4000.0000000000 0.0000000000 3000.0000000000 0.0000124374 -0.7658761614 -0.0003167061 -0.0003167061 -0.0008625578 3.0839638150 39.9999975683 -0.0002028851 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000271 -0.0000009080 1.0901465497 0.0124946460
